Epoch	Train Error	Test Error
68	1218.1461104115704	662.6396972703108
69	1181.5828351463113	688.1693564047288
70	1177.4510593089117	618.0026323979355
71	1203.9245361691706	631.3465380894665
72	1189.3866626973017	649.2262530086367
73	1158.1818681575426	629.8389669065729
74	1181.3598985757064	673.0140917953977
75	1131.4765291987815	626.0345863768334
76	1181.3074574015645	781.6720330177214
77	1167.2477055537756	625.1082407385671
78	1225.455716329297	639.6829310891222
79	1159.2372231553811	675.673129254695
80	1172.4345298535688	675.863417641093
81	1160.2087424241188	614.2756208488593
82	1167.0677210966876	639.9976482408903
83	1234.2819995337943	560.8467045155902
84	1098.1215202318392	563.4095421175474
85	1140.5394737540548	599.6977706152867
86	1146.4199238111942	652.7109844907782
87	1102.453815804055	611.3233702043151
88	1141.7315845794012	728.674050846641
89	1170.6195904192614	690.2890331504746
90	1178.3700293731813	554.5822600792808
91	1136.6819938160781	546.7320602709376
92	1112.848553013818	701.4283320132773
93	1148.5913544545037	596.7373382889226
94	1108.6658126473192	584.3536708481988
95	1157.6018635264916	570.3134389909205
96	1096.0646848592935	619.3557900499551
97	1143.717146297427	604.7973031780102
98	1185.1601313814233	581.8062939515445
99	1142.3989125114279	570.8775992689087
100	1142.0225098315	551.5340519095514
101	1141.0050642468782	574.7071825430177
102	1088.8061965844581	648.9002603934421
103	1136.9074812423028	604.0331690693947
104	1142.4803259553648	606.6295196661041
105	1193.3942387814666	701.825582486608
106	1141.3866376673257	519.9230490998107
107	1129.7064325096492	593.3007261661409
108	1156.1427261253216	635.0998516817084
109	1128.4126799838568	648.6806314097996
110	1108.149217713353	597.4457218365557
111	1064.1993680972062	576.7734883533961
112	1195.3732601845675	673.8238531728645
113	1164.108608703428	611.942340075484
114	1137.9125718094044	611.5435883719011
115	1135.0956529670834	611.536491854248
116	1096.9579457093157	731.8454605066872
117	1125.8867248287834	549.2261302107851
118	1116.2437133923033	560.0227417414334
119	1083.1360890665494	596.0155185775753
120	1090.1280673545814	623.7353851122288
121	1054.1283570910928	554.5496924512181
122	1157.4850185980997	583.8858553808357
123	1130.9797567227083	616.6381020052147
124	1161.9345067257605	621.1142234959201
125	1156.3109370651555	570.2905302137096
126	1071.852983417147	549.0604387736931
127	1095.3098892067346	666.0035823657707
128	1044.7307829917552	563.7505479932805
129	1030.6058585301253	628.565889207977
130	1060.4533194963235	582.8022000648889
131	1085.504482888756	520.484658040335
132	1050.5420670110452	529.4993859478011
133	1081.6668649639983	542.5678590005105
134	1105.1527907384025	572.9429895604649
135	1180.7578788029841	614.5532779236387
136	1047.8658152777598	562.5008444722356
137	1076.4232332544643	573.7694044484487
138	1079.200830176862	561.3429900305288
139	1076.1747702332211	608.562500594943
140	1078.743298117483	538.0020781789011
141	1094.3936252642375	540.9500867308614
142	1015.2336242934653	645.7276202461904
143	1072.4499624587063	557.8431353839727
144	1035.460644739923	583.419743771253
145	1010.7874145204711	626.0373151426763
146	1119.7041058644097	595.4592871350533
147	1095.4702244363964	614.8854811435831
148	1056.9334043734327	560.1257445645607
149	1135.2198709769357	623.6150848930946
150	1090.007357077985	593.141281359178
151	1114.4763673346915	706.0689895394192
152	1119.382299301176	583.8799911779574
153	1145.3068739260498	673.8492860187592
154	1094.133437209395	637.3441059787648
155	1133.5760416082126	576.9050513347689
156	1127.312180419477	580.4132138530751
157	1134.4865889550163	563.7714631115072
158	1139.5561428877145	634.4548385824485
159	1120.0957824294096	574.5249040649976
160	1102.7519840426894	612.0284608106932
161	1100.3522839381594	580.1090893368771
162	1068.2717732366827	615.041728673314
163	1072.8221549655425	593.5856151235062
164	1033.5357269417916	572.8336775013895
165	1119.4798088260377	527.2514028127856
166	1045.516567436947	538.7871431552192
167	1076.0851552050183	630.8878789787241
168	1081.2161269505375	689.4488258466366
169	1021.308521989763	572.9113459099366
